X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,pred_date,pred_depth,pred_area,pred_abundance,pred_density,SVC_pred_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
219,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,2,0.001,-0.001,0.001,-0.693147180559945,32.5,neutral,fusiform,carnivore,5
220,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,32.5,neutral,fusiform,carnivore,6
221,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,1,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,32.5,neutral,fusiform,carnivore,1
222,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,5,0.0025,-0.0025,0.0025,-1.25276296849537,32.5,neutral,fusiform,carnivore,2
223,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,2,0.001,-0.001,0.001,-0.693147180559945,32.5,neutral,fusiform,carnivore,6
224,175,Ten 2A,Continuous,20,5,30.8461538461538,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,2,0.001,-0.001,0.001,-0.693147180559945,32.5,neutral,fusiform,carnivore,2
225,175,Ten 2A,Continuous,20,5,30.8461538461538,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,32.5,neutral,fusiform,carnivore,6
226,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,32.5,neutral,fusiform,carnivore,6
227,175,Ten 2A,Continuous,20,5,30.8461538461538,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,32.5,neutral,fusiform,carnivore,6
228,175,Ten 2A,Continuous,20,5,30.8461538461538,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,32,2000,2,0.001,-0.001,0.001,-0.693147180559945,32.5,camouflage,anguilliform,carnivore,6
229,176,Ten 3A,Continuous,45,5,46.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,2,0.0129922402545855,2014-09-28,33.5,2000,3,0.0015,0.0114922402545855,0.0144922402545855,1.72221217654847,33.25,neutral,fusiform,carnivore,3
232,176,Ten 3A,Continuous,45,5,46.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,7,0.0035,-0.0035,0.0035,-1.50407739677627,33.25,neutral,fusiform,carnivore,4
233,176,Ten 3A,Continuous,45,5,46.8461538461538,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,33.25,neutral,fusiform,carnivore,2
234,176,Ten 3A,Continuous,45,5,46.8461538461538,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,33.25,neutral,fusiform,carnivore,6
235,176,Ten 3A,Continuous,45,5,46.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,33.25,neutral,fusiform,carnivore,5
236,176,Ten 3A,Continuous,45,5,46.8461538461538,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,33.25,neutral,fusiform,carnivore,6
237,176,Ten 3A,Continuous,45,5,46.8461538461538,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,33.25,neutral,fusiform,carnivore,6
238,176,Ten 3A,Continuous,45,5,46.8461538461538,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-28,33,153.93804,0,0,2014-09-28,33.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,33.25,camouflage,anguilliform,carnivore,6
239,177,Ten 5A,Continuous,20,3,21.1153846153846,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-28,34,153.93804,1,0.00649612012729277,2014-09-28,32,2000,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,33,neutral,fusiform,carnivore,6
240,177,Ten 5A,Continuous,20,3,21.1153846153846,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-28,34,153.93804,1,0.00649612012729277,2014-09-28,32,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,33,neutral,fusiform,carnivore,3
244,177,Ten 5A,Continuous,20,3,21.1153846153846,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-28,34,153.93804,0,0,2014-09-28,32,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,33,neutral,fusiform,carnivore,6
245,177,Ten 5A,Continuous,20,3,21.1153846153846,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-28,34,153.93804,0,0,2014-09-28,32,2000,2,0.001,-0.001,0.001,-0.693147180559945,33,camouflage,anguilliform,carnivore,6
247,178,Conch 3A,Continuous,30,20,33.5384615384615,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,48,neutral,fusiform,carnivore,6
248,178,Conch 3A,Continuous,30,20,33.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,48,neutral,fusiform,carnivore,2
249,178,Conch 3A,Continuous,30,20,33.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,10,0.005,-0.005,0.005,-1.79175946922805,48,neutral,fusiform,carnivore,4
250,178,Conch 3A,Continuous,30,20,33.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,48,neutral,fusiform,carnivore,5
252,178,Conch 3A,Continuous,30,20,33.5384615384615,Perciformes,Sphyraenidae,Sphyraena barracuda,barracuda,6,1,0,demersal,solitary,180,cryptic,0,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,48,silvering,elongated,carnivore,6
253,178,Conch 3A,Continuous,30,20,33.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,4,0.002,-0.002,0.002,-1.09861228866811,48,neutral,fusiform,carnivore,3
254,178,Conch 3A,Continuous,30,20,33.5384615384615,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,48,neutral,anguilliform,carnivore,6
255,178,Conch 3A,Continuous,30,20,33.5384615384615,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-14,55,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,48,camouflage,anguilliform,carnivore,6
256,179,Conch 4B,Continuous,20,15,18.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,46,153.93804,1,0.00649612012729277,2014-09-29,41,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,43.5,neutral,fusiform,carnivore,3
257,179,Conch 4B,Continuous,20,15,18.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,46,153.93804,1,0.00649612012729277,2014-09-29,41,2000,5,0.0025,0.00399612012729277,0.00899612012729277,0.761622601831659,43.5,neutral,fusiform,carnivore,4
258,179,Conch 4B,Continuous,20,15,18.5384615384615,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,2,0.001,-0.001,0.001,-0.693147180559945,43.5,neutral,anguilliform,carnivore,6
259,179,Conch 4B,Continuous,20,15,18.5384615384615,Perciformes,Sphyraenidae,Sphyraena barracuda,barracuda,6,1,0,demersal,solitary,180,cryptic,0,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,2,0.001,-0.001,0.001,-0.693147180559945,43.5,silvering,elongated,carnivore,6
260,179,Conch 4B,Continuous,20,15,18.5384615384615,Anguilliformes,Muraenidae,Gymnothorax miliaris,goldentail moray,4,1,0,benthic,solitary,70,conspicuous,1,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,43.5,neutral,anguilliform,carnivore,4
261,179,Conch 4B,Continuous,20,15,18.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,5,0.0025,-0.0025,0.0025,-1.25276296849537,43.5,neutral,fusiform,carnivore,2
262,179,Conch 4B,Continuous,20,15,18.5384615384615,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,43.5,neutral,fusiform,carnivore,5
263,179,Conch 4B,Continuous,20,15,18.5384615384615,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,43.5,neutral,fusiform,carnivore,2
264,179,Conch 4B,Continuous,20,15,18.5384615384615,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-14,46,153.93804,0,0,2014-09-29,41,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,43.5,camouflage,anguilliform,carnivore,6
265,180,Conch 6A,Continuous,30,10,27.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,45,153.93804,1,0.00649612012729277,2014-09-29,44,2000,7,0.0035,0.00299612012729277,0.00999612012729277,0.510308173550754,44.5,neutral,fusiform,carnivore,4
267,180,Conch 6A,Continuous,30,10,27.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,45,153.93804,0,0,2014-09-29,44,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,44.5,neutral,fusiform,carnivore,2
268,180,Conch 6A,Continuous,30,10,27.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,45,153.93804,0,0,2014-09-29,44,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,44.5,neutral,fusiform,carnivore,5
269,180,Conch 6A,Continuous,30,10,27.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-14,45,153.93804,0,0,2014-09-29,44,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,44.5,neutral,fusiform,carnivore,3
270,180,Conch 6A,Continuous,30,10,27.3846153846154,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,4,1,0,benthic,solitary,200,conspicuous,1,2014-09-14,45,153.93804,0,0,2014-09-29,44,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,44.5,camouflage,anguilliform,carnivore,4
271,182,KL-P2,Patch,10,65,25,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-29,17,28.27433388,2,0.070735530268839,2014-09-29,15,256.5,2,0.00779727095516569,0.0629382593136733,0.0785328012240047,2.09854461091864,16,neutral,fusiform,carnivore,6
275,182,KL-P2,Patch,10,65,25,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,1,0,demersal,solitary,125,none,1,2014-09-29,17,28.27433388,0,0,2014-09-29,15,256.5,3,0.0116959064327485,-0.0116959064327485,0.0116959064327485,-2.54127961337563,16,neutral,fusiform,carnivore,5
276,182,KL-P2,Patch,10,65,25,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-29,17,28.27433388,0,0,2014-09-29,15,256.5,1,0.00389863547758285,-0.00389863547758285,0.00389863547758285,-1.58895669237282,16,camouflage,anguilliform,carnivore,6
277,182,KL-P2,Patch,10,65,25,Anguilliformes,Muraenidae,Gymnothorax miliaris,goldentail moray,4,1,0,benthic,solitary,70,conspicuous,1,2014-09-29,17,28.27433388,0,0,2014-09-29,15,256.5,1,0.00389863547758285,-0.00389863547758285,0.00389863547758285,-1.58895669237282,16,neutral,anguilliform,carnivore,4
278,182,KL-P2,Patch,10,65,25,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-29,17,28.27433388,0,0,2014-09-29,15,256.5,1,0.00389863547758285,-0.00389863547758285,0.00389863547758285,-1.58895669237282,16,neutral,fusiform,carnivore,2
279,182,KL-P2,Patch,10,65,25,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,3,1,0,benthic,solitary,200,conspicuous,1,2014-09-29,17,28.27433388,0,0,2014-09-29,15,256.5,1,0.00389863547758285,-0.00389863547758285,0.00389863547758285,-1.58895669237282,16,camouflage,anguilliform,carnivore,3
280,182,KL-P2,Patch,10,65,25,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,4,1,0,benthic,solitary,200,conspicuous,1,2014-09-29,17,28.27433388,0,0,2014-09-29,15,256.5,1,0.00389863547758285,-0.00389863547758285,0.00389863547758285,-1.58895669237282,16,camouflage,anguilliform,carnivore,4
281,185,BISC-P12a,Patch,75,5,42.1666666666667,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,14,28.27433388,1,0.0353677651344195,2015-03-16,19,1131,0,0,0.0353677651344195,0.0353677651344195,3.59368280906083,16.5,neutral,fusiform,carnivore,3
284,185,BISC-P12a,Patch,75,5,42.1666666666667,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2015-03-16,14,28.27433388,0,0,2015-03-16,19,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,16.5,neutral,fusiform,carnivore,6
285,185,BISC-P12a,Patch,75,5,42.1666666666667,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2015-03-16,14,28.27433388,0,0,2015-03-16,19,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,16.5,neutral,fusiform,carnivore,6
286,185,BISC-P12a,Patch,75,5,42.1666666666667,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,1,0,demersal,solitary,125,none,1,2015-03-16,14,28.27433388,0,0,2015-03-16,19,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,16.5,neutral,fusiform,carnivore,5
287,185,BISC-P12a,Patch,75,5,42.1666666666667,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2015-03-16,14,28.27433388,0,0,2015-03-16,19,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,16.5,camouflage,anguilliform,carnivore,6
288,186,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,26,78.53981634,1,0.0127323954473103,2015-03-16,20,3276,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,23,neutral,fusiform,carnivore,4
290,186,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2015-03-16,26,78.53981634,0,0,2015-03-16,20,3276,1,3.05250305250305e-4,-3.05250305250305e-4,3.05250305250305e-4,-0.266394827171975,23,neutral,fusiform,carnivore,6
292,186,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Epinephelidae,Epinephelus guttatus,red hind,5,1,0,demersal,solitary,76,conspicuous,0,2015-03-16,26,78.53981634,0,0,2015-03-16,20,3276,1,3.05250305250305e-4,-3.05250305250305e-4,3.05250305250305e-4,-0.266394827171975,23,neutral,fusiform,invertivore,5
293,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,55,176.7145868,1,0.00565884241990599,2015-03-16,60.5,2000,4,0.002,0.00365884241990599,0.00765884241990599,0.797333369952411,57.75,neutral,fusiform,carnivore,2
294,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Epinephelidae,Cephalopholis fulva,coney,5,1,1,demersal,solitary,41,conspicuous,1,2015-03-16,55,176.7145868,1,0.00565884241990599,2015-03-16,60.5,2000,1,5e-4,0.00515884241990599,0.00615884241990599,1.49048055051236,57.75,neutral,fusiform,carnivore,5
296,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,55,176.7145868,1,0.00565884241990599,2015-03-16,60.5,2000,4,0.002,0.00365884241990599,0.00765884241990599,0.797333369952411,57.75,neutral,fusiform,carnivore,4
297,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,55,176.7145868,0,0,2015-03-16,60.5,2000,5,0.0025,-0.0025,0.0025,-1.25276296849537,57.75,neutral,fusiform,carnivore,3
298,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,55,176.7145868,0,0,2015-03-16,60.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,57.75,neutral,fusiform,carnivore,5
299,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Epinephelidae,Rypticus saponaceus,greater soapfish,4,1,0,demersal,solitary,35,none,1,2015-03-16,55,176.7145868,0,0,2015-03-16,60.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,57.75,neutral,fusiform,carnivore,4
300,187,BISC-W13,Continuous,40,5,29.5,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2015-03-16,55,176.7145868,0,0,2015-03-16,60.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,57.75,neutral,fusiform,carnivore,5
301,187,BISC-W13,Continuous,40,5,29.5,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2015-03-16,55,176.7145868,0,0,2015-03-16,60.5,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,57.75,neutral,fusiform,carnivore,6
302,187,BISC-W13,Continuous,40,5,29.5,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2015-03-16,55,176.7145868,0,0,2015-03-16,60.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,57.75,silvering,fusiform,invertivore,6
303,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2015-03-16,53,176.7145868,1,0.00565884241990599,2015-03-16,55.5,2000,0,0,0.00565884241990599,0.00565884241990599,1.89594565862052,54.25,silvering,fusiform,invertivore,6
304,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,53,176.7145868,1,0.00565884241990599,2015-03-16,55.5,2000,4,0.002,0.00365884241990599,0.00765884241990599,0.797333369952411,54.25,neutral,fusiform,carnivore,2
306,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2015-03-16,53,176.7145868,0,0,2015-03-16,55.5,2000,8,0.004,-0.004,0.004,-1.6094379124341,54.25,neutral,fusiform,carnivore,3
309,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis fulva,coney,3,1,1,demersal,solitary,41,conspicuous,1,2015-03-16,53,176.7145868,0,0,2015-03-16,55.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,54.25,neutral,fusiform,carnivore,3
310,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,3,1,1,demersal,solitary,45.7,conspicuous,1,2015-03-16,53,176.7145868,0,0,2015-03-16,55.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,54.25,neutral,fusiform,carnivore,3
311,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2015-03-16,53,176.7145868,0,0,2015-03-16,55.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,54.25,neutral,fusiform,carnivore,5
312,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2015-03-16,53,176.7145868,0,0,2015-03-16,55.5,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,54.25,neutral,fusiform,carnivore,6
313,188,BISC-W60-4b,Continuous,50,5,27.9230769230769,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2015-03-16,53,176.7145868,0,0,2015-03-16,55.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,54.25,camouflage,anguilliform,carnivore,6
314,189,KL-W2,Continuous,20,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2015-03-17,46,176.7145868,1,0.00565884241990599,2015-03-17,50.5,2000,1,5e-4,0.00515884241990599,0.00615884241990599,1.49048055051236,48.25,neutral,fusiform,carnivore,2
315,189,KL-W2,Continuous,20,5,30.6,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,6,1,0,demersal,solitary,50,cryptic,1,2015-03-17,46,176.7145868,1,0.00565884241990599,2015-03-17,50.5,2000,0,0,0.00565884241990599,0.00565884241990599,1.89594565862052,48.25,camouflage,fusiform,carnivore,6
317,189,KL-W2,Continuous,20,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2015-03-17,46,176.7145868,2,0.011317684839812,2015-03-17,50.5,2000,6,0.003,0.00831768483981199,0.014317684839812,1.12474166048009,48.25,neutral,fusiform,carnivore,3
318,189,KL-W2,Continuous,20,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2015-03-17,46,176.7145868,0,0,2015-03-17,50.5,2000,4,0.002,-0.002,0.002,-1.09861228866811,48.25,neutral,fusiform,carnivore,4
319,189,KL-W2,Continuous,20,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2015-03-17,46,176.7145868,0,0,2015-03-17,50.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,48.25,neutral,fusiform,carnivore,5
320,189,KL-W2,Continuous,20,5,30.6,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,1,1,demersal,solitary,33,conspicuous,1,2015-03-17,46,176.7145868,0,0,2015-03-17,50.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,48.25,neutral,fusiform,carnivore,6
321,190,KL-W7,Continuous,30,3,52.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2015-03-17,60,176.7145868,1,0.00565884241990599,2015-03-17,58,2000,1,5e-4,0.00515884241990599,0.00615884241990599,1.49048055051236,59,neutral,fusiform,carnivore,2
322,190,KL-W7,Continuous,30,3,52.8076923076923,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2015-03-17,60,176.7145868,1,0.00565884241990599,2015-03-17,58,2000,1,5e-4,0.00515884241990599,0.00615884241990599,1.49048055051236,59,silvering,fusiform,invertivore,6
